Date,Open,Close
2004-01-01,1111.92,1131.13
2004-02-01,1131.13,1144.94
2004-03-01,1144.94,1126.21
2004-04-01,1126.21,1107.3
2004-05-01,1107.3,1120.68
2004-06-01,1120.68,1140.84
2004-07-01,1140.84,1101.72
2004-08-01,1101.72,1104.24
2004-09-01,1104.24,1114.58
2004-10-01,1114.58,1130.2
2004-11-01,1130.2,1173.82
2004-12-01,1173.78,1211.92
2005-01-01,1211.92,1181.27
2005-02-01,1181.27,1203.6
2005-03-01,1203.6,1180.59
2005-04-01,1180.59,1156.85
2005-05-01,1156.85,1191.5
2005-06-01,1191.5,1191.33
2005-07-01,1191.33,1234.18
2005-08-01,1234.18,1220.33
2005-09-01,1220.33,1228.81
2005-10-01,1228.81,1207.01
2005-11-01,1207.01,1249.48
2005-12-01,1249.48,1248.29
2006-01-01,1248.29,1280.08
2006-02-01,1280.08,1280.66
2006-03-01,1280.66,1294.87
2006-04-01,1302.88,1310.61
2006-05-01,1310.61,1270.09
2006-06-01,1270.05,1270.2
2006-07-01,1270.06,1276.66
2006-08-01,1278.53,1303.82
2006-09-01,1303.8,1335.85
2006-10-01,1335.82,1377.94
2006-11-01,1377.76,1400.63
2006-12-01,1400.63,1418.3
2007-01-01,1418.03,1438.24
2007-02-01,1437.9,1406.82
2007-03-01,1406.8,1420.86
2007-04-01,1420.83,1482.37
2007-05-01,1482.37,1530.62
2007-06-01,1530.62,1503.35
2007-07-01,1504.66,1455.27
2007-08-01,1455.18,1473.99
2007-09-01,1473.96,1526.75
2007-10-01,1527.29,1549.38
2007-11-01,1545.79,1481.14
2007-12-01,1479.63,1468.36
2008-01-01,1467.97,1378.55
2008-02-01,1378.6,1330.63
2008-03-01,1330.45,1322.7
2008-04-01,1326.41,1385.59
2008-05-01,1385.97,1400.38
2008-06-01,1399.62,1280
2008-07-01,1276.69,1267.38
2008-08-01,1269.42,1282.83
2008-09-01,1287.83,1166.36
2008-10-01,1164.17,968.75
2008-11-01,968.67,896.24
2008-12-01,888.61,903.25
2009-01-01,902.99,825.88
2009-02-01,823.09,735.09
2009-03-01,729.57,797.87
2009-04-01,793.59,872.81
2009-05-01,872.74,919.14
2009-06-01,923.26,919.32
2009-07-01,920.82,987.48
2009-08-01,990.22,1020.62
2009-09-01,1019.52,1057.08
2009-10-01,1054.91,1036.19
2009-11-01,1036.18,1095.63
2009-12-01,1098.89,1115.1
2010-01-01,1116.56,1073.87
2010-02-01,1073.89,1104.49
2010-03-01,1105.36,1169.43
2010-04-01,1171.23,1186.69
2010-05-01,1188.58,1089.41
2010-06-01,1087.3,1030.71
2010-07-01,1031.1,1101.6
2010-08-01,1107.53,1049.33
2010-09-01,1049.72,1141.2
2010-10-01,1143.49,1183.26
2010-11-01,1185.71,1180.55
2010-12-01,1186.6,1257.64
2011-01-01,1257.62,1286.12
2011-02-01,1289.14,1327.22
2011-03-01,1328.64,1325.83
2011-04-01,1329.48,1363.61
2011-05-01,1365.21,1345.2
2011-06-01,1345.2,1320.64
2011-07-01,1320.64,1292.28
2011-08-01,1292.59,1218.89
2011-09-01,1219.12,1131.42
2011-10-01,1131.21,1253.3
2011-11-01,1251,1246.96
2011-12-01,1246.91,1257.6
2012-01-01,1258.86,1312.41
2012-02-01,1312.45,1365.68
2012-03-01,1365.9,1408.47
2012-04-01,1408.47,1397.91
2012-05-01,1397.86,1310.33
2012-06-01,1309.87,1362.16
2012-07-01,1362.33,1379.32
2012-08-01,1379.32,1406.58
2012-09-01,1406.54,1440.67
2012-10-01,1440.9,1412.16
2012-11-01,1412.2,1416.18
2012-12-01,1416.34,1426.19
2013-01-01,1426.19,1498.11
2013-02-01,1498.11,1514.68
2013-03-01,1514.68,1569.19
2013-04-01,1569.18,1597.57
2013-05-01,1597.55,1630.74
2013-06-01,1631.71,1606.28
2013-07-01,1609.78,1685.73
2013-08-01,1689.42,1632.97
2013-09-01,1635.95,1681.55
2013-10-01,1682.41,1756.54
2013-11-01,1758.7,1805.81
2013-12-01,1806.55,1848.36
2014-01-01,1845.86,1782.59
2014-02-01,1782.68,1859.45
2014-03-01,1857.68,1872.34
2014-04-01,1873.96,1883.95
2014-05-01,1884.39,1923.57
2014-06-01,1923.87,1960.23
2014-07-01,1962.29,1930.67
2014-08-01,1929.8,2003.37
2014-09-01,2004.07,1972.29
2014-10-01,1971.44,2018.05
2014-11-01,2018.21,2067.56
2014-12-01,2065.78,2058.9
2015-01-01,2058.9,1994.99
2015-02-01,1996.67,2104.5
2015-03-01,2105.23,2067.89
2015-04-01,2067.63,2085.51
2015-05-01,2087.38,2107.39
2015-06-01,2108.64,2063.11
2015-07-01,2067,2103.84
2015-08-01,2104.49,1972.18
2015-09-01,1970.09,1920.03
2015-10-01,1919.65,2079.36
2015-11-01,2080.76,2080.41
2015-12-01,2082.93,2043.94
2016-01-01,2038.2,1940.24
2016-02-01,1936.94,1932.23
2016-03-01,1937.09,2059.74
2016-04-01,2056.62,2065.3
2016-05-01,2067.17,2096.95
2016-06-01,2093.94,2098.86
2016-07-01,2099.34,2173.6
2016-08-01,2173.15,2170.95
2016-09-01,2171.33,2168.27
2016-10-01,2164.33,2126.15
2016-11-01,2128.68,2198.81
2016-12-01,2200.17,2238.83
2017-01-01,2251.57,2278.87
2017-02-01,2285.59,2363.64
2017-03-01,2380.13,2362.72
2017-04-01,2362.34,2384.2
2017-05-01,2388.5,2411.8
2017-06-01,2415.65,2423.41
2017-07-01,2431.39,2470.3
2017-08-01,2477.1,2471.65
2017-09-01,2474.42,2519.36
2017-10-01,2521.2,2575.26
2017-11-01,2583.21,2647.58
2017-12-01,2645.1,2673.61
2018-01-01,2683.73,2823.81
2018-02-01,2816.45,2713.83
2018-03-01,2715.22,2640.87
2018-04-01,2633.45,2648.05
2018-05-01,2642.96,2705.27
2018-06-01,2718.7,2718.37
2018-07-01,2704.95,2816.29
2018-08-01,2821.17,2901.52
2018-09-01,2896.96,2913.98
2018-10-01,2926.29,2711.74
2018-11-01,2717.58,2760.17
2018-12-01,2790.5,2506.85
2019-01-01,2476.96,2704.1
2019-02-01,2702.32,2784.49
2019-03-01,2798.22,2834.4
2019-04-01,2848.63,2945.83
2019-05-01,2952.33,2752.06
2019-06-01,2751.53,2941.76
2019-07-01,2971.41,2980.38
2019-08-01,2980.32,2926.46
2019-09-01,2909.01,2976.74
2019-10-01,2983.69,3037.56
2019-11-01,3050.72,3140.98
2019-12-01,3143.85,3230.78
2020-01-01,3244.67,3225.52
2020-02-01,3235.66,2954.22
2020-03-01,2974.28,2584.59
2020-04-01,2498.08,2912.43
2020-05-01,2869.09,3044.31
2020-06-01,3038.78,3100.29
2020-07-01,3105.92,3271.12
2020-08-01,3288.26,3500.31
2020-09-01,3507.44,3363
2020-10-01,3385.87,3269.96
2020-11-01,3296.2,3621.63
2020-12-01,3645.87,3756.07
2021-01-01,3764.61,3714.24
2021-02-01,3731.17,3811.15
2021-03-01,3842.51,3972.89
2021-04-01,3992.78,4181.17
2021-05-01,4191.98,4204.11
2021-06-01,4216.52,4297.5
2021-07-01,4300.73,4395.26
2021-08-01,4406.86,4522.68
2021-09-01,4528.8,4307.54
2021-10-01,4317.16,4605.38
2021-11-01,4610.62,4567
2021-12-01,4602.82,4766.18
2022-01-01,4778.14,4515.55
2022-02-01,4519.57,4373.94
2022-03-01,4363.14,4530.41
2022-04-01,4540.32,4131.93
2022-05-01,4130.61,4132.15
2022-06-01,4149.78,3785.38
2022-07-01,3781,4130.29
2022-08-01,4112.38,3955
2022-09-01,3936.73,3585.62
2022-10-01,3609.78,3871.98
2022-11-01,3901.79,4080.11
2022-12-01,4087.14,3839.5
2023-01-01,3853.29,4076.6
2023-02-01,4070.07,3970.15
2023-03-01,3963.34,4109.31
2023-04-01,4102.2,4169.48
2023-05-01,4166.79,4179.83
2023-06-01,4183.03,4450.38
2023-07-01,4450.48,4588.96
2023-08-01,4578.83,4507.66
2023-09-01,4530.6,4288.05
2023-10-01,4284.52,4193.8
2023-11-01,4201.27,4567.8
2023-12-01,4559.43,4769.83
2024-01-01,4745.2,4845.65
2024-02-01,4861.11,5096.27
2024-03-01,5098.51,5254.35
2024-04-01,5257.97,5035.69
2024-05-01,5029.03,5277.51
2024-06-01,5297.15,5469.3
2024-06-26,5460.71,5477.9
